ID_Cliente,Nombre,Correo,ID_Ticket,Descripcion,Estado,TiempoRespuesta,Satisfaccion
C01,Ana Pérez,ana.perez@mail.com,T01,Ya no hay problema,Resuelto,2,00,5
C01,Ana Pérez,ana.perez@mail.com,T07,Consulta sobre productos,Resuelto,2,00,0
C02,Luis Gómez,luis.gomez@mail.com,T02,No puedo iniciar sesión,Resuelto,1,00,0
C02,Luis Gómez,luis.gomez@mail.com,T03,Consulta sobre contrato,Pendiente,0,00,0
C03,Carla Díaz,carla.diaz@mail.com,T04,Falla en el sistema,Resuelto,4,00,0
C04,Pedro Fernández,pedro.fernandez@mail.com,T05,Ya funciona,Resuelto,3,00,0
C05,Sofía Martínez,sofia.martinez@mail.com,T06,Duda sobre pagos,Resuelto,3,00,0
C06,Diego Torres,diego.torres@mail.com,T08,Problema de instalación,Pendiente,0,00,0
C07,María López,maria.lopez@mail.com,T09,Falla en actualización,Resuelto,2,00,0
C08,Ricardo Sánchez,ricardo.sanchez@mail.com,T10,No llega correo de confirmación,Pendiente,0,00,0
C09,Valentina Rojas,valentina.rojas@mail.com,T11,Consulta de garantía,Resuelto,3,00,0
C10,Jorge Medina,jorge.medina@mail.com,T12,Error al registrar ticket,Pendiente,0,00,0
C11,Camila Fuentes,camila.fuentes@mail.com,T13,Duda sobre facturación,Resuelto,2,00,0
C12,Andrés Paredes,andres.paredes@mail.com,T14,Problema con contraseña,Pendiente,0,00,0
C13,Fernanda Silva,fernanda.silva@mail.com,T15,Consulta de producto,Resuelto,1,00,0
C14,Nicolás Castillo,nicolas.castillo@mail.com,T16,Error en notificaciones,Pendiente,0,00,0
C15,Isabel Vega,isabel.vega@mail.com,T17,No puedo descargar reporte,Resuelto,3,00,0
C16,Ramón López,ramon.lopez@mail.com,T18,Consulta sobre suscripción,Pendiente,0,00,0
C17,Patricia Moreno,patricia.moreno@mail.com,T19,Falla en el sistema,Resuelto,4,00,0
C18,Daniela Castro,daniela.castro@mail.com,T20,Problema al pagar factura,Pendiente,0,00,0
C19,Claudia Lucero,claudia@gmail.com,T21,No funciona el sistema.,Pendiente,0,00,0
